BudgetMonth,StoreKey,ChannelKey,Category,BudgetUnits,BudgetSales,BudgetGrossProfit,TargetMarginPct,Scenario,BudgetOwner,FiscalYear,FiscalQuarter,Year,MonthNum,MonthName
2022-01-01,201,1,Beauty,17,841.82,285.42,0.3391,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,201,1,Electronics,34,45574.84,17340.89,0.3805,Baseline,Regional Director,2022,FQ4,2022,1,January
2022-01-01,201,1,Fashion,14,1064.15,302.79,0.2845,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,201,1,Furniture,6,5940.51,1369.5,0.2305,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,201,1,Grocery,8,144.55,53.0,0.3667,Baseline,Regional Director,2022,FQ4,2022,1,January
2022-01-01,201,1,Home Appliances,1,476.47,187.74,0.394,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,201,1,Office Supplies,9,493.25,187.71,0.3806,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,201,1,Sports,21,4724.61,1539.29,0.3258,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,202,1,Beauty,26,981.89,364.62,0.3713,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,202,1,Electronics,10,10921.83,4716.19,0.4318,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,202,1,Fashion,23,2641.19,1096.22,0.415,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,202,1,Furniture,20,9903.41,4237.61,0.4279,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,202,1,Grocery,9,241.61,96.75,0.4004,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,202,1,Home Appliances,11,6085.38,2107.06,0.3462,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,202,1,Office Supplies,22,1371.64,597.01,0.4353,Baseline,Regional Director,2022,FQ4,2022,1,January
2022-01-01,202,1,Sports,17,3033.74,1467.95,0.4839,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,203,1,Beauty,7,376.4,136.56,0.3628,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,203,1,Electronics,13,20287.09,8789.14,0.4332,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,203,1,Fashion,23,2666.59,999.47,0.3748,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,203,1,Furniture,20,9831.63,3715.1,0.3779,Baseline,Regional Director,2022,FQ4,2022,1,January
2022-01-01,203,1,Grocery,23,599.79,230.85,0.3849,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,203,1,Home Appliances,43,12125.06,5457.09,0.4501,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,203,1,Office Supplies,2,136.67,48.13,0.3522,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,203,1,Sports,9,1344.49,478.66,0.356,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,204,1,Beauty,29,1238.05,498.16,0.4024,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,204,1,Electronics,10,12429.73,4979.66,0.4006,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,204,1,Fashion,9,1251.07,565.18,0.4518,Baseline,Regional Director,2022,FQ4,2022,1,January
2022-01-01,204,1,Furniture,25,10022.8,4160.88,0.4151,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,204,1,Grocery,7,105.47,35.83,0.3397,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,204,1,Home Appliances,12,7689.44,3426.92,0.4457,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,204,1,Sports,19,4385.2,1417.19,0.3232,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,205,1,Beauty,9,415.59,147.7,0.3554,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,205,1,Electronics,35,40904.68,14330.35,0.3503,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,205,1,Fashion,31,2677.32,1053.3,0.3934,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,205,1,Furniture,3,2625.42,990.99,0.3775,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,205,1,Grocery,15,502.32,204.54,0.4072,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,205,1,Home Appliances,12,6294.66,2737.94,0.435,Baseline,Regional Director,2022,FQ4,2022,1,January
2022-01-01,205,1,Office Supplies,13,498.3,219.17,0.4398,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,205,1,Sports,56,10733.12,3922.87,0.3655,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,206,1,Beauty,7,516.13,162.21,0.3143,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,206,1,Electronics,7,9668.15,4428.77,0.4581,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,206,1,Fashion,8,453.87,208.23,0.4588,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,206,1,Furniture,10,3521.44,1450.97,0.412,Baseline,Regional Director,2022,FQ4,2022,1,January
2022-01-01,206,1,Grocery,12,317.78,134.55,0.4234,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,206,1,Home Appliances,37,10390.86,3698.96,0.356,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,206,1,Office Supplies,16,869.03,361.58,0.4161,Baseline,Commercial Planning,2022,FQ4,2022,1,January
