ProductKey,SKU,ProductName,Category,Subcategory,Brand,Color,Size,UnitCost,BasePrice,LaunchDate,DiscontinuedFlag,PopularityScore
1001,SKU-1001,Nova Laptop 1,Electronics,Laptop,Nova,Gray,XL,74.21,162.02,2022-03-24,0,1.09
1002,SKU-1002,UrbanRoot Laptop 2,Electronics,Laptop,UrbanRoot,White,XS,419.11,824.79,2022-11-21,0,0.97
1003,SKU-1003,Pulse Laptop 3,Electronics,Laptop,Pulse,Gray,Std,699.84,1134.26,2023-01-11,1,1.15
1004,SKU-1004,Vertex Laptop 4,Electronics,Laptop,Vertex,White,XL,1120.04,1775.17,2024-10-31,0,1.07
1005,SKU-1005,Orchid Laptop 5,Electronics,Laptop,Orchid,Green,L,201.93,394.52,2021-03-07,0,0.88
1006,SKU-1006,Solstice Laptop 6,Electronics,Laptop,Solstice,Silver,XL,957.88,1592.3,2022-06-23,0,0.88
1007,SKU-1007,Zenith Laptop 7,Electronics,Laptop,Zenith,Red,XL,539.77,976.0,2023-08-17,0,0.76
1008,SKU-1008,Nova Tablet 1,Electronics,Tablet,Nova,Blue,XL,868.59,1265.27,2022-06-24,0,1.27
1009,SKU-1009,Vertex Tablet 2,Electronics,Tablet,Vertex,Black,XS,938.37,1534.0,2023-09-28,0,1.28
1010,SKU-1010,Vertex Tablet 3,Electronics,Tablet,Vertex,Beige,XL,252.76,522.28,2024-09-13,0,1.07
1011,SKU-1011,Solstice Tablet 4,Electronics,Tablet,Solstice,Beige,XS,472.17,830.87,2023-11-26,0,0.79
1012,SKU-1012,Aster Tablet 5,Electronics,Tablet,Aster,Red,Std,519.97,1108.36,2022-05-03,0,1.07
1013,SKU-1013,Solstice Tablet 6,Electronics,Tablet,Solstice,White,XS,743.38,1088.04,2021-04-21,0,0.95
1014,SKU-1014,Nova Tablet 7,Electronics,Tablet,Nova,White,XS,367.04,537.74,2024-02-02,0,1.07
1015,SKU-1015,Aster Phone 1,Electronics,Phone,Aster,Red,NA,965.41,1747.91,2023-03-11,0,0.92
1016,SKU-1016,UrbanRoot Phone 2,Electronics,Phone,UrbanRoot,Blue,XS,571.05,1231.94,2023-09-04,0,0.8
1017,SKU-1017,Zenith Phone 3,Electronics,Phone,Zenith,Green,M,111.01,235.12,2024-09-08,0,1.18
1018,SKU-1018,Orchid Phone 4,Electronics,Phone,Orchid,White,XL,340.88,566.23,2021-07-24,0,0.91
1019,SKU-1019,Pulse Phone 5,Electronics,Phone,Pulse,Red,Std,1002.42,1599.85,2021-01-17,0,1.28
1020,SKU-1020,Vertex Phone 6,Electronics,Phone,Vertex,Red,NA,163.64,313.92,2023-09-28,1,1.13
1021,SKU-1021,Vertex Phone 7,Electronics,Phone,Vertex,Black,NA,93.19,194.07,2021-11-02,0,1.08
1022,SKU-1022,Nimbus Audio 1,Electronics,Audio,Nimbus,Silver,XL,159.62,334.11,2024-02-21,0,1.31
1023,SKU-1023,Orchid Audio 2,Electronics,Audio,Orchid,Red,S,1048.26,1572.54,2022-05-24,0,0.81
