PromotionKey,PromotionName,PromoType,StartDate,EndDate,DiscountBand,CampaignTheme,IsSeasonal
0,No Promotion,None,,,0%,Baseline,0
301,New Year Kickoff,Seasonal,2022-01-01,2025-01-20,5%-10%,January Push,1
302,Spring Refresh,Seasonal,2022-03-10,2025-04-15,8%-15%,Spring Demand,1
303,Summer Flash,Flash,2022-06-01,2025-07-20,10%-18%,Summer Push,1
304,Back to Campus,Campaign,2022-08-01,2025-09-15,6%-14%,Education,1
305,Festive Weeks,Seasonal,2022-10-20,2025-12-31,12%-25%,Holiday Peak,1
306,Wholesale Volume Deal,B2B,2022-01-01,2025-12-31,4%-12%,Bulk Incentive,0
307,Beauty Combo,Bundle,2022-02-01,2025-12-31,7%-16%,Cross Sell,0
308,Fitness Challenge,Campaign,2022-01-15,2025-12-31,5%-12%,New Habits,0
309,Clearance Window,Clearance,2022-01-01,2025-12-31,15%-35%,Old Stock,0
