SalespersonKey,SalespersonName,Team,Region,HireDate,QuotaBand
401,Salesperson 1,Enterprise,West,2021-01-30,B
402,Salesperson 2,Retail Ops,South,2017-05-25,C
403,Salesperson 3,Key Accounts,South,2020-08-11,A
404,Salesperson 4,Key Accounts,East,2020-01-17,A
405,Salesperson 5,Digital Growth,North,2022-08-19,C
406,Salesperson 6,Enterprise,South,2019-07-04,C
407,Salesperson 7,Enterprise,West,2017-10-10,B
408,Salesperson 8,Digital Growth,East,2020-09-02,A
409,Salesperson 9,Key Accounts,North,2021-02-20,A
410,Salesperson 10,Digital Growth,East,2025-04-18,C
411,Salesperson 11,Retail Ops,West,2021-02-17,C
412,Salesperson 12,Key Accounts,South,2025-03-20,C
413,Salesperson 13,Retail Ops,South,2017-01-27,B
414,Salesperson 14,Enterprise,South,2023-01-28,B
415,Salesperson 15,Enterprise,East,2017-01-06,C
416,Salesperson 16,Key Accounts,East,2018-03-02,A
417,Salesperson 17,Retail Ops,West,2022-07-09,A
418,Salesperson 18,Retail Ops,East,2018-01-17,A
419,Salesperson 19,Retail Ops,West,2024-11-10,B
420,Salesperson 20,Key Accounts,North,2023-07-07,A
421,Salesperson 21,Retail Ops,West,2017-11-03,C
422,Salesperson 22,Enterprise,West,2024-06-06,A
423,Salesperson 23,Retail Ops,East,2019-12-06,B
424,Salesperson 24,Key Accounts,East,2020-07-26,B
425,Salesperson 25,Digital Growth,South,2017-11-02,A
426,Salesperson 26,Retail Ops,North,2018-09-29,A
427,Salesperson 27,Retail Ops,West,2022-03-24,B
428,Salesperson 28,Key Accounts,North,2023-01-05,B
429,Salesperson 29,Retail Ops,West,2020-06-16,B
430,Salesperson 30,Digital Growth,North,2018-01-06,A
431,Salesperson 31,Digital Growth,North,2019-05-31,B
432,Salesperson 32,Retail Ops,North,2024-12-22,A
433,Salesperson 33,Digital Growth,West,2022-10-05,A
434,Salesperson 34,Digital Growth,East,2018-12-14,A
435,Salesperson 35,Key Accounts,West,2023-03-28,C
436,Salesperson 36,Retail Ops,North,2022-03-08,A
437,Salesperson 37,Retail Ops,North,2017-02-18,A
438,Salesperson 38,Retail Ops,South,2019-03-23,B
439,Salesperson 39,Digital Growth,North,2023-07-14,C
440,Salesperson 40,Digital Growth,North,2017-03-31,A
441,Salesperson 41,Retail Ops,West,2018-06-12,A
442,Salesperson 42,Digital Growth,North,2017-06-24,B
443,Salesperson 43,Enterprise,South,2023-06-09,B
444,Salesperson 44,Key Accounts,West,2017-05-01,B
445,Salesperson 45,Key Accounts,South,2020-12-20,A
446,Salesperson 46,Retail Ops,East,2020-02-21,B
447,Salesperson 47,Retail Ops,North,2023-11-21,C
448,Salesperson 48,Retail Ops,East,2022-08-06,B
449,Salesperson 49,Key Accounts,North,2017-12-26,B
450,Salesperson 50,Key Accounts,South,2021-09-14,A
451,Salesperson 51,Retail Ops,North,2021-04-16,C
452,Salesperson 52,Digital Growth,West,2023-02-09,B
453,Salesperson 53,Digital Growth,East,2021-05-10,B
454,Salesperson 54,Retail Ops,North,2020-07-30,C
455,Salesperson 55,Retail Ops,North,2025-09-24,B
456,Salesperson 56,Enterprise,West,2022-12-09,B
457,Salesperson 57,Retail Ops,South,2018-02-15,A
458,Salesperson 58,Retail Ops,East,2022-12-26,C
459,Salesperson 59,Enterprise,South,2023-06-17,B
460,Salesperson 60,Digital Growth,South,2018-12-23,A
