SalesLineKey,OrderID,OrderLineNo,OrderDate,ShipDate,InvoiceDate,ReturnDate,CustomerKey,ProductKey,StoreKey,SalespersonKey,PromotionKey,ChannelKey,SalesRegion,Country,CustomerSegment,OrderPriority,PaymentMethod,ProductCategory,ProductSubcategory,Units,UnitPrice,ListPrice,DiscountPct,GrossSales,DiscountAmount,NetSales,COGS,GrossProfit,TaxAmount,FreightAmount,ReturnedFlag,OnTimeShipFlag,DemandIndex
1,ORD-20220101-000001,1,2022-01-01,2022-01-03,2022-01-02,,9429,1128,209,428,0,1,East,USA,Home Office,Medium,Card,Sports,Outdoor,2,283.81,287.42,0.0,567.62,0.0,567.62,394.57,173.05,41.15,0.0,0,1,62.9
2,ORD-20220101-000002,1,2022-01-01,2022-01-01,2022-01-02,,7775,1176,210,442,0,1,West,USA,Consumer,Medium,Card,Office Supplies,Storage,2,57.23,59.2,0.0,114.46,0.0,114.46,72.65,41.81,8.3,0.0,0,1,56.2
3,ORD-20220101-000003,1,2022-01-01,2022-01-05,2022-01-01,,6244,1026,220,410,0,4,North,USA,Corporate,High,Bank Transfer,Electronics,Audio,4,824.21,873.12,0.0,3296.84,0.0,3296.84,2260.25,1036.59,239.02,4.41,0,1,58.0
4,ORD-20220101-000004,1,2022-01-01,2022-01-03,2022-01-02,,9098,1137,218,454,0,3,North,USA,Small Business,High,Card,Sports,Athleisure,20,300.75,301.68,0.0,6015.0,0.0,6015.0,4007.49,2007.51,240.6,12.16,0,1,66.9
5,ORD-20220101-000005,1,2022-01-01,2022-01-04,2022-01-02,,6907,1171,218,449,306,3,North,USA,Consumer,Critical,Cash,Office Supplies,Writing,20,69.1,73.76,0.11,1382.0,152.02,1229.98,878.79,351.19,49.2,29.87,0,1,65.7
6,ORD-20220101-000006,1,2022-01-01,2022-01-03,2022-01-03,,5461,1154,220,415,0,4,North,USA,Consumer,Low,Card,Beauty,Makeup,1,42.22,40.43,0.02,42.22,0.84,41.38,26.25,15.13,3.0,9.43,0,1,64.2
7,ORD-20220101-000007,1,2022-01-01,2022-01-02,2022-01-03,,6294,1137,205,454,0,1,South,USA,Consumer,Medium,Wallet,Sports,Athleisure,10,281.33,298.4,0.0,2813.3,0.0,2813.3,1970.49,842.81,203.96,0.0,0,1,73.5
8,ORD-20220101-000008,1,2022-01-01,2022-01-02,2022-01-03,,9271,1072,212,404,0,1,South,USA,Corporate,High,Card,Furniture,Bedroom,1,1215.49,1232.61,0.0,1215.49,0.0,1215.49,823.31,392.18,88.12,0.0,0,1,56.0
9,ORD-20220101-000009,1,2022-01-01,2022-01-03,2022-01-01,,8755,1134,211,437,0,1,East,USA,Corporate,High,Card,Sports,Athleisure,3,153.3,162.78,0.0,459.9,0.0,459.9,250.48,209.42,33.34,0.0,0,1,54.9
10,ORD-20220101-000010,1,2022-01-01,2022-01-01,2022-01-02,,9322,1010,208,442,0,1,East,USA,Small Business,Medium,Cash,Electronics,Tablet,2,523.0,517.91,0.0,1046.0,0.0,1046.0,501.53,544.47,75.83,0.0,0,1,63.5
11,ORD-20220101-000011,1,2022-01-01,2022-01-01,2022-01-02,,9417,1086,203,413,0,1,West,USA,Consumer,Medium,Card,Fashion,Women Apparel,3,163.05,153.59,0.0,489.15,0.0,489.15,282.42,206.73,35.46,0.0,0,1,54.8
12,ORD-20220101-000012,1,2022-01-01,2022-01-02,2022-01-01,,5748,1003,205,431,0,1,South,USA,Small Business,High,Wallet,Electronics,Laptop,4,1188.54,1154.22,0.02,4754.16,95.08,4659.08,2773.12,1885.96,337.78,0.0,0,1,70.4
13,ORD-20220101-000013,1,2022-01-01,2022-01-02,2022-01-02,,8012,1127,212,455,0,1,South,USA,Home Office,Medium,Card,Sports,Outdoor,2,221.57,216.47,0.0,443.14,0.0,443.14,207.37,235.77,32.13,0.0,0,1,64.0
14,ORD-20220101-000014,1,2022-01-01,2022-01-01,2022-01-02,,9304,1079,207,457,301,1,North,USA,Consumer,Low,Card,Fashion,Men Apparel,4,81.64,79.42,0.1,326.56,32.66,293.9,221.14,72.76,21.31,0.0,0,1,65.5
15,ORD-20220101-000015,1,2022-01-01,2022-01-03,2022-01-02,,5585,1150,212,415,0,1,South,USA,Small Business,Medium,Card,Beauty,Makeup,3,69.43,67.54,0.0,208.29,0.0,208.29,140.95,67.34,15.1,0.0,0,1,73.9
16,ORD-20220101-000016,1,2022-01-01,2022-01-03,2022-01-02,,7214,1061,202,438,301,1,West,USA,Corporate,Critical,Wallet,Furniture,Office Furniture,5,186.13,195.97,0.07,930.65,65.15,865.5,459.15,406.35,62.75,0.0,0,1,69.1
17,ORD-20220101-000017,1,2022-01-01,2022-01-01,2022-01-01,,7946,1119,220,437,0,4,North,USA,Consumer,Medium,Cash,Grocery,Staples,1,29.71,28.63,0.0,29.71,0.0,29.71,20.97,8.74,2.15,6.07,0,1,57.4
18,ORD-20220101-000018,1,2022-01-01,2022-01-04,2022-01-03,,5497,1079,219,417,306,3,South,USA,Small Business,Medium,Cash,Fashion,Men Apparel,6,76.35,77.91,0.08,458.1,36.65,421.45,334.66,86.79,16.86,3.58,0,1,62.0
19,ORD-20220101-000019,1,2022-01-01,2022-01-01,2022-01-02,,8718,1155,220,407,307,4,North,USA,Consumer,Medium,Card,Beauty,Personal Care,1,33.2,31.43,0.13,33.2,4.32,28.88,18.03,10.85,2.09,4.24,0,1,72.7
20,ORD-20220101-000020,1,2022-01-01,2022-01-01,2022-01-01,,8215,1086,203,423,0,1,West,USA,Consumer,Medium,Card,Fashion,Women Apparel,6,145.65,151.09,0.0,873.9,0.0,873.9,544.72,329.18,63.36,0.0,0,1,66.9
21,ORD-20220101-000021,1,2022-01-01,2022-01-03,2022-01-03,,7230,1142,203,441,0,1,West,USA,Consumer,Medium,Cash,Beauty,Skincare,3,88.49,84.63,0.0,265.47,0.0,265.47,167.94,97.53,19.25,0.0,0,1,66.0
22,ORD-20220101-000022,1,2022-01-01,2022-01-04,2022-01-02,,8474,1130,218,406,301,3,North,USA,Consumer,Medium,Bank Transfer,Sports,Outdoor,12,105.65,104.03,0.05,1267.8,63.39,1204.41,718.22,486.19,48.18,7.06,0,1,64.0
23,ORD-20220101-000023,1,2022-01-01,2022-01-03,2022-01-01,,9072,1032,211,450,0,1,East,USA,Corporate,Critical,Card,Home Appliances,Kitchen,2,395.42,427.77,0.0,790.84,0.0,790.84,464.25,326.59,57.34,0.0,0,1,64.7
24,ORD-20220101-000024,1,2022-01-01,2022-01-01,2022-01-01,,7292,1059,209,444,301,1,East,USA,Consumer,Medium,Net Terms,Furniture,Office Furniture,1,1128.71,1045.27,0.05,1128.71,56.44,1072.27,724.91,347.36,77.74,0.0,0,1,71.7
25,ORD-20220101-000025,1,2022-01-01,2022-01-02,2022-01-03,,9594,1087,211,451,0,1,East,USA,Consumer,High,Card,Fashion,Women Apparel,2,161.96,169.88,0.0,323.92,0.0,323.92,212.82,111.1,23.48,0.0,0,1,66.8
26,ORD-20220101-000026,1,2022-01-01,2022-01-02,2022-01-01,,6051,1110,201,446,0,1,South,USA,Consumer,Medium,Card,Grocery,Snacks,3,9.14,9.62,0.0,27.42,0.0,27.42,16.5,10.92,1.99,0.0,0,1,73.5
27,ORD-20220101-000027,1,2022-01-01,2022-01-03,2022-01-02,,7587,1069,213,405,0,1,North,USA,Corporate,High,Bank Transfer,Furniture,Living Room,6,506.38,539.11,0.0,3038.28,0.0,3038.28,2263.45,774.83,220.28,0.0,0,1,58.1
28,ORD-20220101-000028,1,2022-01-01,2022-01-04,2022-01-03,,9938,1124,209,452,0,1,East,USA,Consumer,Medium,Card,Sports,Fitness,1,124.29,124.79,0.0,124.29,0.0,124.29,75.95,48.34,9.01,0.0,0,0,74.2
29,ORD-20220101-000029,1,2022-01-01,2022-01-02,2022-01-03,,5620,1031,215,424,0,2,South,USA,Consumer,Medium,Wallet,Home Appliances,Kitchen,4,553.53,520.25,0.0,2214.12,0.0,2214.12,1051.42,1162.7,160.52,9.86,0,1,69.7
30,ORD-20220101-000030,1,2022-01-01,2022-01-01,2022-01-03,,7656,1172,214,421,0,1,West,USA,Small Business,Medium,Cash,Office Supplies,Writing,1,14.81,15.18,0.0,14.81,0.0,14.81,8.95,5.86,1.07,0.0,0,1,65.5
31,ORD-20220101-000031,1,2022-01-01,2022-01-02,2022-01-02,,6754,1055,214,456,0,1,West,USA,Consumer,Low,Card,Home Appliances,Laundry,4,320.37,317.42,0.0,1281.48,0.0,1281.48,762.03,519.45,92.91,0.0,0,1,56.8
32,ORD-20220101-000032,1,2022-01-01,2022-01-05,2022-01-01,,5716,1028,218,442,0,3,North,USA,Consumer,Medium,Card,Electronics,Audio,15,1254.45,1164.85,0.0,18816.75,0.0,18816.75,10172.87,8643.88,752.67,27.51,0,1,70.9
33,ORD-20220101-000033,1,2022-01-01,2022-01-03,2022-01-03,,5417,1144,201,433,0,1,South,USA,Small Business,High,Card,Beauty,Skincare,2,61.66,65.21,0.0,123.32,0.0,123.32,85.63,37.69,8.94,0.0,0,1,62.8
